tanggal,kk,cleaning,trial,rm,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik
06/01/2021,WOG21A0002,FALSE,FALSE,13832.8,54,24979,4038,3.2,12921.6,0,800,70,0,800,2,55.5,2.9,0
07/01/2021,WOG21A0010,FALSE,FALSE,4887.3,53,24978,1898,2.37,4498.26,0,350,24.5,0,350,2,19.6,2.4,0
07/01/2021,WO21A00013,FALSE,FALSE,3112.38,54,24980,559,5.1,2850.9,0,234,18,0,234,2,12.5,2.5,0.5
14/01/2021,WO21A00014,FALSE,FALSE,5878.94,56,24983,272.5012645,19.77,5387.35,0,430,44,0,430,2,23.6,3.5,0.4
14/01/2021,WOG21A0019,FALSE,FALSE,5184,56,24983,243.5007587,19.77,4814.01,0,324,30.5,0,324,2,20.8,0.7,0
18/01/2021,WOG21A0024,FALSE,FALSE,3907.2,53,24978,1620,2.37,3839.4,0,50,6,0,50,2,15.7,2.5,0
18/01/2021,WOG21A0022,FALSE,FALSE,8294.4,54,24979,2420,3.2,7744,0,480,45.5,0,480,2,33.3,3.2,0.5
18/01/2021,WOG21A0027,FALSE,FALSE,2764.8,56,24981,322,7.9,2543.8,0,198,14.7,0,198,2,11.1,3.4,0
20/01/2021,WOG21A0034,FALSE,FALSE,1000,53,24978,400,2.37,948,0,44,5,0,44,2,4,0.4,0
20/01/2021,WOG21A0028,FALSE,FALSE,10713.6,55,24980,2037,5.1,10388.7,0,238,55,0,238,2,43,2.4,0
23/01/2021,WOG21A0031,FALSE,FALSE,7257.6,56,24982,614,10.6,6508.4,0,690,37.5,0,690,2,29.1,2.8,0
23/01/2021,WOG21A0023,FALSE,FALSE,2604.8,53,24977,1086,1.75,1900.5,0,646,50.5,0,646,2,10.5,2.5,0
06/01/2021,WOE21A0001,TRUE,FALSE,224,54,24977,0,1,0,0,0,223.32,0,0,2,0,0,0
14/01/2021,WOE21A0003,TRUE,FALSE,224,56,24977,0,1,0,0,0,223.32,0,0,2,0,0,0
18/01/2021,WOE21A0004,TRUE,FALSE,56,53,24977,0,1,0,0,0,55.83,0,0,2,0,0,0
20/01/2021,WOE21A0007,TRUE,FALSE,224,55,24977,0,1,0,0,0,223.32,0,0,2,0,0,0
23/01/2021,WOE21A0008,TRUE,FALSE,224,53,24977,0,1,0,0,0,223.32,0,0,2,0,0,0
05/04/2021,WOG21D0001,FALSE,FALSE,3751.8,56,24941,244,14.26,3479.44,0,256,5,0,256,2,16.5,2,0
05/04/2021,WOG21D0004,FALSE,FALSE,15007.2,56,29383,1610,8.83,14216.3,0,710,35.2,0,710,2,58.2,2.5,1
05/04/2021,WOG21D0005,FALSE,FALSE,16384.6,50,29375,23900,0.63,15057,0,1218,59.7,0,1218,2,82.5,2,1.5
14/04/2021,WOG21D0007,FALSE,FALSE,5588.4,56,24943,155,34.32,5319.6,0,240,12,0,240,2,23,2,2
14/04/2021,WOG21D0008,FALSE,FALSE,6985.5,50,29376,7322.5,0.88,6443.8,0,496,24.8,0,496,2,36.5,2,1
14/04/2021,WOG21D0009,FALSE,FALSE,10860.28,56,29383,1000,8.83,8830,0,1903,95,0,1903,2,37,2,4
16/04/2021,WOG21D0011,FALSE,FALSE,10860.28,56,29383,1001,8.83,8838.83,0,1959,30,0,1959,2,37.2,2,0.5
19/04/2021,WOG21D0013,FALSE,FALSE,10860.28,53,29380,3240,2.58,8359.2,0,2415,53,0,2415,2,35,2,1
19/04/2021,WOG21D0014,FALSE,FALSE,14373.9,54,29382,2120,5.34,11320.8,0,2867,143.35,0,2867,2,47.1,1.5,0.3
21/04/2021,WOG21D0016,FALSE,FALSE,7346.66,56,24942,301,19.71,5932.71,0,1325.5,66.28,0,1325.5,2,25.2,2.5,2
23/04/2021,WOG21D0021,FALSE,FALSE,9263.18,53,29381,2093,3.76,7869.68,0,1301,65.05,0,1301,2,33,2,1.5
14/04/2021,WOF21D0001,FALSE,TRUE,138.565,50,29375,0,0.63,0,0,125,13.15,0,125,2,1,0.2,0
05/04/2021,WOE21D0001,TRUE,FALSE,224,56,29375,0,1,0,0,0,223.32,0,0,2,0,0,0
06/04/2021,WOE21D0002,TRUE,FALSE,224,54,29375,0,1,0,0,0,223.32,0,0,2,0,0,0
12/04/2021,WOE21D0004,TRUE,FALSE,224,53,29375,0,1,0,0,0,223.32,0,0,2,0,0,0
16/04/2021,WOE21D0006,TRUE,FALSE,224,52,29375,0,1,0,0,0,223.32,0,0,2,0,0,0
05/04/2021,WOG21D0003,FALSE,FALSE,13190.05,49,24972,47967,0.27,12951.09,0,190,9.5,0,190,2,75,3,2.5
23/04/2021,WOG21D0022,FALSE,FALSE,8492.96,49,24973,18500,0.375,6937.5,0,1457,72.85,0,1457,2,40,2,1
09/04/2021,WOE21D0003,TRUE,FALSE,224,49,24972,0,1,0,0,0,223.32,0,0,2,0,0,0
14/04/2021,WOE21D0005,TRUE,FALSE,224,49,24972,0,1,0,0,0,223.32,0,0,2,0,0,0
22/04/2021,WOE21D0008,TRUE,FALSE,224,49,24972,0,1,0,0,0,223.32,0,0,2,0,0,0
05/04/2021,WOG21D0002,FALSE,FALSE,4131.6,56,24981,460,7.9,3634,0,430,55,0,430,2,16.5,2,1.5
14/04/2021,WOG21D0006,FALSE,FALSE,4365.66,56,24983,206,19.77,4072.62,0,267,12.8,0,267,2,17.5,2.5,1
15/04/2021,WOG21D0010,FALSE,FALSE,14656.98,54,24979,3884,3.2,12428.8,0,2155,29,0,2155,2,51.2,2,1
16/04/2021,WOG21D0012,FALSE,FALSE,5637.3,53,24977,2758,1.75,4826.5,0,756,37.8,0,756,2,27.7,2,2.5
20/04/2021,WOG21D0015,FALSE,FALSE,2490.74,52,24976,1338.582734,1.39,1860.63,0,593,29.65,0,593,2,12,1.5,1
23/04/2021,WOG21D0017,FALSE,FALSE,7140.58,53,24978,2240,2.37,5308.8,0,1724,86.2,0,1724,2,24,2,1.5
23/04/2021,WOG21D0018,FALSE,FALSE,8643.86,55,24980,969,5.1,4941.9,0,3501,175.05,0,3501,2,28.5,2,2
23/04/2021,WOG21D0019,FALSE,FALSE,8268.04,56,24982,642.95,10.6,6815.27,0,1360,68,0,1360,2,30.2,3,2
23/04/2021,WOG21D0020,FALSE,FALSE,4134.02,56,24981,401,7.9,3167.9,0,908,45.6,0,908,2,15,2,1
23/04/2021,WOG21D0023,FALSE,FALSE,3382.38,56,24984,99.89993284,29.78,2975.02,0,379,18.2,0,379,2,15.5,3,2.5
14/04/2021,WOF21D0002,FALSE,TRUE,161.272,53,24978,0,2.37,0,0,153.2,7.59,0,153.2,2,1.3,0.3,0
20/04/2021,WOE21D0007,TRUE,FALSE,224,56,24977,0,1,0,0,0,223.32,0,0,2,0,0,0
26/04/2021,WOE21D0009,TRUE,FALSE,224,56,24977,0,1,0,0,0,223.32,0,0,2,0,0,0
02/02/2021,WOG21B0005,FALSE,FALSE,6936.48,54,29382,1222.65,5.34,6528.951,0,350,37,0,350,2,27.8,2.9,0
03/02/2021,WOG21B0002,FALSE,FALSE,15334.14,51,29377,11975,1.2,14370,0,850,68,0,850,2,102.5,3,0
09/02/2021,WOG21B0009,FALSE,FALSE,16589.04,56,29383,1761.551076,8.83,15554.496,0,900,85,0,900,2,66.5,2.8,0
11/02/2021,WOG21B0010,FALSE,FALSE,5104.32,56,24942,216,19.71,4257.36,0,803.5,28,0,803.5,2,20.5,2.7,0
11/02/2021,WOG21B0011,FALSE,FALSE,4785.3,53,29381,1190,3.76,4474.4,0,270.5,26,0,270.5,2,19.2,2.4,0
16/02/2021,WOG21B0016,FALSE,FALSE,2886,56,24941,188,14.26,2680.88,0,181,15.4,0,181,2,10.4,2.7,0
19/02/2021,WOG21B0004,FALSE,FALSE,16141.2,52,29375,23968.25397,0.63,15100,0,902,90,0,902,2,108,2.7,0
20/02/2021,WOG21B0018,FALSE,FALSE,6983.6,51,29379,3170,2.04,6466.8,0,461,35,0,461,2,46.6,2.8,0
19/02/2021,WOF21B0002,FALSE,TRUE,139.9,52,29376,0,0.88,0,0,138,1.48,0,138,2,1,0.2,0
04/02/2021,WOE21B0001,TRUE,FALSE,222.55,51,29375,0,1,0,0,0,221.88,0,0,2,0,0,0
01/02/2021,WOG21B0003,FALSE,FALSE,6055.9,50,24973,15060,0.375,5647.5,0,355,35,0,355,2,41,2.7,0
08/02/2021,WOG21B0001,FALSE,FALSE,17234,49,24972,57494,0.27,15523.38,0,1550,109,0,1550,2,123,3.8,1.2
17/02/2021,WOG21B0007,FALSE,FALSE,17234,49,24972,57500,0.27,15525,0,1550,108,0,1550,2,123,3.8,1
05/02/2021,WOG21B0006,FALSE,FALSE,24144.12,54,24979,6781,3.2,21699.2,0,2250,122,0,2250,2,99.5,3.8,0.3
06/02/2021,WOG21B0008,FALSE,FALSE,18415.18,55,24980,3293,5.1,16794.3,0,1460,105,0,1460,2,73.8,2.7,0
15/02/2021,WOG21B0013,FALSE,FALSE,3913.8,56,24982,339,10.6,3593.4,0,290,18.5,0,290,2,15.1,2.7,0
16/02/2021,WOG21B0015,FALSE,FALSE,5692.8,56,24981,670,7.9,5293,0,353,30,0,353,2,22.8,2.7,0
18/02/2021,WOG21B0012,FALSE,FALSE,3558.2,53,24978,1341,2.37,3178.17,0,351,18.2,0,351,2,14.3,3.2,0
18/02/2021,WOG21B0014,FALSE,FALSE,7330.2,54,24977,3900,1.75,6825,0,450,33,0,450,2,29.5,3,0
03/02/2021,WOF21B0001,FALSE,TRUE,321.536,54,24979,0,3.2,0,0,300,20.58,0,300,2,0,0,0
03/02/2021,WOE21B0002,TRUE,FALSE,224,54,24977,0,1,0,0,0,223.32,0,0,2,1.3,0.3,0
07/06/2021,WOG21F0004,FALSE,FALSE,19159.24,56,29383,2022,8.83,17854.26,0,1099.6,147,0,1099.6,2,73.5,2,2
07/06/2021,WOG21F0005,FALSE,FALSE,13905.9,54,29382,2500,5.34,13350,0,402,112,0,402,2,55.2,2.5,1.5
05/06/2021,WOG21F0006,FALSE,FALSE,14301.42,51,29376,13887.70455,0.88,12221.18,0,1232.1,363,0,1232.1,2,82.5,2,1.5
11/06/2021,WOG21F0008,FALSE,FALSE,3645.46,56,24984,64.30009588,52.15,3353.25,0,268,13.4,0,268,2,16,2,2
15/06/2021,WOG21F0010,FALSE,FALSE,10375.54,50,29377,7970,1.201355082,9574.8,0,733,36.65,0,733,2,53,2,1
17/06/2021,WOG21F0015,FALSE,FALSE,19068.56,56,29375,27800,0.63,17514,0,956.32,149.82,0,956.32,2,73,2,4
23/06/2021,WOG21F0018,FALSE,FALSE,8973.44,53,29377,7050,1.2,8460,0,313.61,77.23,0,313.61,2,35,2.5,2
24/06/2021,WOG21F0019,FALSE,FALSE,5888.82,50,29376,6261.829545,0.88,5510.41,0,173.1,38,0,173.1,2,32.5,2.5,1.5
24/06/2021,WOG21F0020,FALSE,FALSE,3365.04,51,29378,1790,1.81,3239.9,0,38,21.5,0,38,2,20,2.5,1
24/06/2021,WOG21F0022,FALSE,FALSE,11567.86,54,29381,2773,3.76,10426.48,0,537.5,206.1,0,537.5,2,43.2,2,1.5
25/06/2021,WOG21F0023,FALSE,FALSE,14796.1,56,29383,1604,8.83,14163.32,0,289.13,23.5,0,289.13,2,58.5,2.5,2
25/06/2021,WOG21F0024,FALSE,FALSE,5380.4,55,29382,932,5.34,4976.88,0,200.42,17,0,200.42,2,22.3,2,1
10/06/2021,WOF21F0003,FALSE,TRUE,139.03,50,29375,0,0.63,0,0,132,6.61,0,132,2,1,0.2,0
10/06/2021,WOF21F0005,FALSE,TRUE,139.03,53,29375,0,0.63,0,0,132.01,6.6,0,132.01,2,0,0,0
17/06/2021,WOF21F0006,FALSE,TRUE,560.44,53,29375,0,0.63,0,0,532.15,26.21,0,532.15,2,0,0,0
21/06/2021,WOF21F0007,FALSE,TRUE,122.56,51,29375,0,1,0,0,91,27.73,0,91,2,0,0,0
21/06/2021,WOF21F0008,FALSE,TRUE,140.31,51,29375,0,1,0,0,102,34.87,0,102,2,0,0,0
23/06/2021,WOF21F0009,FALSE,TRUE,117.76,50,29375,0,1,0,0,84.2,31,0,84.2,2,0,0,0
23/06/2021,WOF21F0010,FALSE,TRUE,123.76,50,29375,0,1,0,0,89.5,31.33,0,89.5,2,0,0,0
02/06/2021,WOE21F0001,TRUE,FALSE,224,52,29375,0,1,0,0,0,223.32,0,0,2,0,0,0
15/06/2021,WOE21F0005,TRUE,FALSE,224,50,29375,0,1,0,0,0,223.32,0,0,2,0,0,0
17/06/2021,WOE21F0006,TRUE,FALSE,224,56,29375,0,1,0,0,0,223.32,0,0,2,0,0,0
21/06/2021,WOE21F0007,TRUE,FALSE,224,54,29375,0,1,0,0,0,213.38,0,0,2,0,0,0
17/06/2021,WOG21F0013,FALSE,FALSE,4213.12,49,24973,9400,0.375,3525,0,415,127.8,0,415,2,22,3,2.5
23/06/2021,WOG21F0016,FALSE,FALSE,1750,49,24972,5550,0.27,1498.5,0,158,44.1,0,158,2,10,2,1
24/06/2021,WOG21F0021,FALSE,FALSE,3423.16,49,24973,8254,0.375,3095.25,0,38,21.5,0,38,2,20,0,0
25/06/2021,WOG21F0025,FALSE,FALSE,3570.15,49,24972,12200,0.27,3294,0,64,32,0,64,2,20,0,0
03/06/2021,WOG21F0001,FALSE,FALSE,7052.22,50,24976,4323,1.39,6008.97,0,672,350,0,672,2,34.5,2,2
