tanggal,kk,cleaning,trial,rm,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik
10/03/2021,WOC21C0020,FALSE,FALSE,2125.02,48,24698,2100,1,2100,0,0,24,0,0,3,7.58,0.3,0
12/03/2021,WOC21C0023,FALSE,FALSE,6187.46,46,24698,6050,1,6050,0,100,35,0,100,3,21,1,2
12/03/2021,WOC21C0024,FALSE,FALSE,6150.22,46,29372,6075,1,6075,0,0,73,0,0,3,21,1,0
12/03/2021,WOC21C0025,FALSE,FALSE,1552.76,48,29372,1525,1,1525,0,0,27,0,0,3,5.5,1,0
12/03/2021,WOC21C0026,FALSE,FALSE,1553.25,48,29372,1550,1,1550,0,0,2.8,0,0,3,5.7,1,0
12/03/2021,WOC21C0027,FALSE,FALSE,1139.29,48,24698,1125,1,1125,0,0,14,0,0,3,4,0.3,0
12/03/2021,WOC21C0028,FALSE,FALSE,3087.57,48,24698,3075,1,3075,0,0,11.5,0,0,3,11,1,0
15/03/2021,WOC21C0021,FALSE,FALSE,3035.16,48,24698,2975,1,2975,0,0,59,0,0,3,10.5,1.3,0
15/03/2021,WOC21C0022,FALSE,FALSE,3144.26,46,24698,3100,1,3100,0,0,43,0,0,3,11,1,0
15/03/2021,WOC21C0029,FALSE,FALSE,2136.57,48,29372,2075,1,2075,0,0,61,0,0,3,7,0.3,0
15/03/2021,WOC21C0031,FALSE,FALSE,2701.08,46,24698,2625,1,2625,0,50,25,0,50,3,9,1,0
16/03/2021,WOC21C0030,FALSE,FALSE,5136.44,48,24698,5075,1,5075,0,0,60,0,0,3,17.3,1,0
16/03/2021,WOC21C0032,FALSE,FALSE,6074.96,46,24698,6000,1,6000,0,0,73,0,0,3,20.5,1,0
16/03/2021,WOC21C0034,FALSE,FALSE,691.24,48,24698,675,1,675,0,0,16,0,0,3,2.4,0.3,0
16/03/2021,WOC21C0037,FALSE,FALSE,2438.51,46,24698,2400,1,2400,0,0,37.5,0,0,3,8.3,0.3,0
17/03/2021,WOC21C0033,FALSE,FALSE,2809.1,47,24698,2725,1,2725,0,0,83,0,0,3,9.5,1.3,0
17/03/2021,WOC21C0035,FALSE,FALSE,5230.45,48,24698,5075,1,5075,0,100,54,0,100,3,17.3,2,0
17/03/2021,WOC21C0036,FALSE,FALSE,3115.09,48,24698,3025,1,3025,0,0,89,0,0,3,10.8,0.3,0
17/03/2021,WOC21C0038,FALSE,FALSE,6075.24,47,24698,5900,1,5900,0,100,73,0,100,3,20,2.3,0
17/03/2021,WOC21C0040,FALSE,FALSE,3165.5,46,24698,3100,1,3100,0,0,64.5,0,0,3,11,2,0
17/03/2021,WOC21C0041,FALSE,FALSE,2605.13,46,24698,2450,1,2450,0,0,154,0,0,3,8.5,2,0
18/03/2021,WOC21C0039,FALSE,FALSE,2293.19,47,29372,2225,1,2225,0,0,67.5,0,0,3,8,2,0
18/03/2021,WOC21C0042,FALSE,FALSE,3745.58,46,29372,3245,1,3245,0,300,199,0,300,3,11,2,0
18/03/2021,WOC21C0043,FALSE,FALSE,3148.63,48,29372,3075,1,3075,0,0,72,0,0,3,11,1,0
18/03/2021,WOC21C0045,FALSE,FALSE,6075.52,47,24698,5900,1,5900,0,100,74,0,100,3,20,3.3,0
19/03/2021,WOC21C0046,FALSE,FALSE,8618.33,48,24698,8525,1,8525,0,0,91,0,0,3,29,1,0
19/03/2021,WOC21C0047,FALSE,FALSE,2030.97,46,24698,1975,1,1975,0,0,55.3,0,0,3,7,0.3,0
19/03/2021,WOC21C0049,FALSE,FALSE,2592.99,46,24698,2525,1,2525,0,0,67,0,0,3,9,1,0
19/03/2021,WOC21C0050,FALSE,FALSE,6075.79,47,24698,5950,1,5950,0,50,74,0,50,3,21,1.3,0
19/03/2021,WOC21C0052,FALSE,FALSE,3217.27,46,24698,3150,1,3150,0,0,66,0,0,3,11,1,0
22/03/2021,WOC21C0044,FALSE,FALSE,5142.79,48,29372,5050,1,5050,0,0,91,0,0,3,18,1.3,0
22/03/2021,WOC21C0051,FALSE,FALSE,6075.24,47,24698,6000,1,6000,0,0,73,0,0,3,21,2,0
22/03/2021,WOC21C0053,FALSE,FALSE,3036.18,46,29372,2950,1,2950,0,0,85,0,0,3,10,1,0
23/03/2021,WOC21C0048,FALSE,FALSE,5007.44,48,24698,5000,1,5000,0,0,6,0,0,3,18,2.3,0
23/03/2021,WOC21C0054,FALSE,FALSE,2024.12,46,29372,1975,1,1975,0,0,48.5,0,0,3,7,2,0
