tanggal,kk,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik,cleaning
10/01/2021,OM21/3,6,560,1988.06,2.7132,5394,901,1907,40,1238,2195,4,18.67,3.67,0.67,FALSE
11/01/2021,OM21/3,6,560,2696.08,2.7132,7315,1006,253,0,1560,2593,4,22.75,1.25,0,FALSE
12/01/2021,OM21/3,6,560,3006.05,2.7132,8156,219,54,0,1610,2535,4,24,0,0,FALSE
13/01/2021,OM21/3,6,560,1873.8,2.7132,5084,55,194,0,1054,1586,4,15,0.25,0.25,FALSE
13/01/2021,OM21/10,6,560,1025.36,2.7132,2782,189,139,0,560,1327,4,8.25,0.25,0,FALSE
14/01/2021,OM21/10,6,560,2748.05,2.7132,7456,686,279,0,1602,1674,4,23.58,0.42,0,FALSE
15/01/2021,OM21/10,6,560,2060.67,2.7132,5591,420,317,0,1069,1536,4,17.08,0.58,0,FALSE
24/01/2021,OM21/51,6,560,1082.86,2.7132,2938,20,254,0,450,1338,4,8.17,0.33,0,FALSE
25/01/2021,OM21/51,6,560,2007.23,2.7132,5446,245,548,0,830,1173,4,17,0.67,0.33,FALSE
26/01/2021,OM21/56,6,560,1749.23,2.7132,4746,617,292,0,827,1557,4,15.17,0.58,0,FALSE
27/01/2021,OM21/56,6,560,2216.57,2.7132,6014,139,456,0,1077,1321,4,18.58,0.58,0.33,FALSE
28/01/2021,OM21/53,6,560,382.94,2.7132,1039,8,431,0,207,435,4,3,1.17,0.33,FALSE
28/01/2021,OM21/54,6,560,382.94,2.7132,1039,10,856,0,276,620,4,3.33,2.08,0,FALSE
27/01/2021,OM21/52,6,560,391.05,2.7132,1061,7,468,0,163,380,4,3.5,1,0,FALSE
27/02/2021,OM/21/052,5,2957,85,18.52941,1575,0,33,0,201,300,3,11.33,0.42,0,FALSE
28/02/2021,OM/21/052,5,2957,247,11.65992,2880,0,946,0,434,1115,3,21.25,2.75,0,FALSE
01/03/2021,OM/21/052,5,2957,217,9.39171,2038,0,406,0,207,480,3,14.75,2.08,0,FALSE
21/04/2021,OM/21/0162,2,2895,142,42.70423,6064,0,1082,2,82,1381,3,22.08,1.92,0,FALSE
26/04/2021,OM/21/0162,2,2895,34,45.14706,1535,0,2279,45,12,200,3,5.67,8.33,0.5,FALSE
27/04/2021,OM/21/0162,2,2895,99,42.92929,4250,0,2237,16,64,925,3,16.33,4.92,1.08,FALSE
28/04/2021,OM/21/0162,2,2895,29,42.68966,1238,0,175,0,17,225,3,5.67,0,0.33,FALSE
