Date,WO,Formatted WO,KK,Machine,Customer,Product Type,s_or_g,tebal,panjang,lebar,"Order
(Pcs)",Finished Goods (Pcs),Finished Goods (Kg),berat,"Scrap
(Kg)","Waste
(Kg)",DL Std,"Effective Hours
(H)",Down Time produksi,DT Teknik,Capacity/Out Put Std (Kg/H),Equipment Earn Hour,"Machine
Eff",Production Eff,"Material
Eff",OEE,DL Earn Hour
31/05/2021,99,0099,WO2.210099,OM 2500,MPZ/PTY/LTD,IMPRABOARD,N,2.70,1830.00,1220.00,                -  ,2050.00,1625.60,0.792975610,368.70,0.60,3.00,5.31,             -  ,             -  ,300.00,5.42,1.00,1.02,0.81,0.83,14.80
31/01/2021,19,0019,WO2.210019,OM 2500,MULFORD,IMPRABOARD,N,2.70,2440.00,1220.00,1200.00,1200.00,1265.10,1.054250000,343.20,0.70,3.00,5.43,0.40,0.00,320.00,3.95,0.93,0.73,0.79,0.53,11.86
01/02/2021,23,0023,WO2.210023,OM 2500,MULFORD,IMPRABOARD,N,2.70,2440.00,1220.00,875.00,900.00,1030.50,1.145000000,660.80,0.40,3.00,3.65,2.88,             -  ,320.00,3.22,0.56,0.88,0.61,0.30,9.66
04/02/2021,24,0024,WO2.210024,OM 2500,MULFORD,IMPRABOARD,N,2.70,2440.00,1220.00,750.00,750.00,858.80,1.145066667,134.50,        -  ,3.00,3.05,0.26,             -  ,320.00,2.68,0.92,0.88,0.86,0.70,8.05
28/02/2021,33,0033,WO2.210033,OM 2500,MULFORD,IMPRABOARD,N,2.70,2440.00,1220.00,1100.00,1100.00,1259.60,1.145090909,395.32,0.70,3.00,4.47,1.25,             -  ,320.00,3.94,0.78,0.88,0.76,0.52,11.81
05/03/2021,43,0043,WO2.210043,OM 2500,MULFORD,IMPRABOARD,N,2.70,2440.00,1220.00,950.00,950.00,1001.60,1.054315789,541.20,0.20,3.00,3.57,1.92,             -  ,300.00,3.34,0.65,0.93,0.65,0.39,10.02
25/04/2021,75,0075,WO2.210075,OM 2500,MPZ/ PTY/LTD,IMPRABOARD ,N,2.70,1830.00,1220.00,1175.00,1175.00,931.70,0.792936170,1405.80,6.50,3.00,3.35,4.62,4.00,300.00,3.11,0.28,0.93,0.40,0.10,9.32
27/04/2021,80,0080,WO2.210080,OM 2500,MPZ/ PTY/LTD,IMPRABOARD ,N,2.70,1830.00,1220.00,7650.00,                  -  ,                  -  ,0.790000000,641.00,1.00,3.00,0.00,1.08,6.92,300.00,0.00,0.00,0.00,0.00,0.00,0.00
28/04/2021,80,0080,WO2.210080,OM 2500,MPZ/ PTY/LTD,IMPRABOARD ,N,2.70,1830.00,1220.00,                -  ,4050.00,3486.60,0.860888889,1190.20,2.00,3.00,11.02,3.81,9.17,300.00,11.62,0.46,1.05,0.75,0.36,34.87
25/02/2021,108,0108,WO1.210108,OM 2500,KREASI DASATAMA,IMPRABOARD,N,3.00,785.00,270.00,3000.00,3000.00,296.70,0.098900000,96.20,0.80,9.00,0.99,             -  ,             -  ,375.00,0.79,1.00,0.80,0.75,0.60,7.12
