kk,kode,bahan,qty
WOL21H0074,NX77R830B*,ADDITIVE ALD R 830 BLUE,"1.932,13"
WOL21H0075,BTXSCRAPBL,SCRAP TRY BLUE,"3.540,00"
WOL21H0075,BTXSCRATCB,SCRAP TRY TC BLUE,"885,00"
WOL21H0075,BTXSCRPGRB,SCRAP TRY GRADE B,"354,00"
WOL21H0075,NX01RSST65,PVC RESIN SATOMO K-65,"17.700,00"
WOL21H0075,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"13.275,00"
WOL21H0075,NX77R830B*,ADDITIVE ALD R 830 BLUE,"3.490,44"
WOL21H0076,BTXSCRAPWH,SCRAP TRY WHITE,"1.000,00"
WOL21H0076,BTXSCRPGRB,SCRAP TRY GRADE B,"100,00"
WOL21H0076,NX01RSST65,PVC RESIN SATOMO K-65,"5.000,00"
WOL21H0076,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"2.500,00"
WOL21H0076,NX77IDW***,ADDITIVE ALD ID WHITE,"1.070,25"
WOL21H0077,BTXSCRAPWH,SCRAP TRY WHITE,"2.500,00"
WOL21H0077,BTXSCRATCW,SCRAP TRY TC WHITE,"625,00"
WOL21H0077,BTXSCRPGRB,SCRAP TRY GRADE B,"250,00"
WOL21H0077,NX01RSST65,PVC RESIN SATOMO K-65,"12.500,00"
WOL21H0077,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"9.375,00"
WOL21H0077,NX77R830W*,ADDITIVE ALD R 830 WHITE,"2.513,00"
WOL21H0078,NX01RSST65,PVC RESIN SATOMO K-65,"17.600,00"
WOL21H0078,NX77WHTC**,ADDITIVE ALD WHITE TC,"2.992,00"
WOL21H0079,BTXSCRAPWH,SCRAP TRY WHITE,"2.460,00"
WOL21H0079,BTXSCRATCW,SCRAP TRY TC WHITE,"615,00"
WOL21H0079,BTXSCRPGRB,SCRAP TRY GRADE B,"246,00"
WOL21H0079,NX01RSST65,PVC RESIN SATOMO K-65,"12.300,00"
WOL21H0079,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"9.225,00"
WOL21H0079,NX77R830W*,ADDITIVE ALD R 830 WHITE,"2.472,79"
WOL21H0080,BTXSCRAPWH,SCRAP TRY WHITE,"380,00"
WOL21H0080,BTXSCRPGRB,SCRAP TRY GRADE B,"76,00"
WOL21H0080,NX01RSST65,PVC RESIN SATOMO K-65,"3.800,00"
WOL21H0080,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"1.900,00"
WOL21H0080,NX77IDW***,ADDITIVE ALD ID WHITE,"813,39"
WOL21H0081,BTXSCRAPWH,SCRAP TRY WHITE,"890,00"
WOL21H0081,BTXSCRATCW,SCRAP TRY TC WHITE,"445,00"
WOL21H0081,BTXSCRPGRB,SCRAP TRY GRADE B,"178,00"
WOL21H0081,NX01RSST65,PVC RESIN SATOMO K-65,"8.900,00"
WOL21H0081,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"6.675,00"
WOL21H0081,NX77R830W*,ADDITIVE ALD R 830 WHITE,"1.788,89"
WOL21H0082,BTXSCRAPWH,SCRAP TRY WHITE,"100,00"
WOL21H0082,BTXSCRPGRB,SCRAP TRY GRADE B,"10,00"
WOL21H0082,NX01RSST65,PVC RESIN SATOMO K-65,"500,00"
WOL21H0082,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"250,00"
WOL21H0082,NX15T60RED,ASA TA60-X50 FR055 RED,"60,70"
WOL21H0082,NX77IDW***,ADDITIVE ALD ID WHITE,"107,03"
WOL21H0083,BTXSCRAPWH,SCRAP TRY WHITE,"960,00"
WOL21H0083,BTXSCRATCW,SCRAP TRY TC WHITE,"240,00"
WOL21H0083,BTXSCRPGRB,SCRAP TRY GRADE B,"96,00"
WOL21H0083,NX01RSST65,PVC RESIN SATOMO K-65,"4.800,00"
WOL21H0083,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"3.600,00"
WOL21H0083,NX77R830W*,ADDITIVE ALD R 830 WHITE,"964,99"
WOL21H0084,BTXSCRAPWH,SCRAP TRY WHITE,"110,00"
WOL21H0084,NX01RSST65,PVC RESIN SATOMO K-65,"550,00"
WOL21H0084,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"550,00"
WOL21H0084,NX77RSW***,ADDITIVE ALD RS WHITE,"128,70"
WOL21H0085,BTXSCRAPBL,SCRAP TRY BLUE,"680,00"
WOL21H0085,BTXSCRPGRB,SCRAP TRY GRADE B,"136,00"
WOL21H0085,NX01RSST65,PVC RESIN SATOMO K-65,"6.800,00"
WOL21H0085,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"3.400,00"
WOL21H0085,NX77IDB***,ADDITIVE ALD ID BLUE,"1.288,60"
WOL21H0086,BTXSCRAPBL,SCRAP TRY BLUE,"570,00"
WOL21H0086,BTXSCRPGRB,SCRAP TRY GRADE B,"114,00"
WOL21H0086,NX01RSST65,PVC RESIN SATOMO K-65,"5.700,00"
WOL21H0086,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"2.850,00"
WOL21H0086,NX77IDB***,ADDITIVE ALD ID BLUE,"1.080,15"
WOL21H0087,BTXSCRAPWH,SCRAP TRY WHITE,"1.940,00"
WOL21H0087,NX01RSST65,PVC RESIN SATOMO K-65,"9.700,00"
WOL21H0087,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"9.700,00"
WOL21H0087,NX77RSW***,ADDITIVE ALD RS WHITE,"2.269,80"
WOL21H0088,NX01RSST65,PVC RESIN SATOMO K-65,"9.200,00"
WOL21H0088,NX77WHTC**,ADDITIVE ALD WHITE TC,"1.564,00"
WOL21H0089,BTXSCRAPWH,SCRAP TRY WHITE,"2.170,00"
WOL21H0089,NX01RSST65,PVC RESIN SATOMO K-65,"10.850,00"
WOL21H0089,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"10.850,00"
WOL21H0089,NX77RSW***,ADDITIVE ALD RS WHITE,"2.538,90"
WOL21H0090,BTXSCRAPWH,SCRAP TRY WHITE,"3.640,00"
WOL21H0090,BTXSCRATCW,SCRAP TRY TC WHITE,"910,00"
WOL21H0090,BTXSCRPGRB,SCRAP TRY GRADE B,"364,00"
WOL21H0090,NX01RSST65,PVC RESIN SATOMO K-65,"18.200,00"
WOL21H0090,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"13.650,00"
WOL21H0090,NX77R830W*,ADDITIVE ALD R 830 WHITE,"3.658,93"
WOL21H0091,BTXSCRAPWH,SCRAP TRY WHITE,"720,00"
WOL21H0091,BTXSCRPGRB,SCRAP TRY GRADE B,"144,00"
WOL21H0091,NX01RSST65,PVC RESIN SATOMO K-65,"7.200,00"
WOL21H0091,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"3.600,00"
WOL21H0091,NX77IDW***,ADDITIVE ALD ID WHITE,"1.541,16"
WOL21H0092,BTXSCRAPWH,SCRAP TRY WHITE,"975,00"
WOL21H0092,NX01RSST65,PVC RESIN SATOMO K-65,"9.750,00"
WOL21H0092,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"9.750,00"
WOL21H0092,NX77RSW***,ADDITIVE ALD RS WHITE,"2.281,50"
WOL21H0093,BTXSCRAPWH,SCRAP TRY WHITE,"1.310,00"
WOL21H0093,BTXSCRATCW,SCRAP TRY TC WHITE,"655,00"
WOL21H0093,BTXSCRPGRB,SCRAP TRY GRADE B,"262,00"
WOL21H0093,NX01RSST65,PVC RESIN SATOMO K-65,"13.100,00"
WOL21H0093,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"9.825,00"
WOL21H0093,NX77R830W*,ADDITIVE ALD R 830 WHITE,"2.633,62"
WOL21H0094,BTXSCRAPBL,SCRAP TRY BLUE,"1.570,00"
WOL21H0094,BTXSCRATCB,SCRAP TRY TC BLUE,"785,00"
WOL21H0094,BTXSCRPGRB,SCRAP TRY GRADE B,"314,00"
WOL21H0094,NX01RSST65,PVC RESIN SATOMO K-65,"15.700,00"
WOL21H0094,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"11.775,00"
WOL21H0094,NX77R830B*,ADDITIVE ALD R 830 BLUE,"3.096,04"
WOL21H0095,BTXSCRAPWH,SCRAP TRY WHITE,"2.030,00"
WOL21H0095,BTXSCRATCW,SCRAP TRY TC WHITE,"1.015,00"
WOL21H0095,BTXSCRPGRB,SCRAP TRY GRADE B,"406,00"
WOL21H0095,NX01RSAS65,PVC RESIN ASNYL FJ-65 R,"20.300,00"
WOL21H0095,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"15.225,00"
WOL21H0095,NX77R830W*,ADDITIVE ALD R 830 WHITE,"4.081,11"
WOL21H0096,BTXSCRAPWH,SCRAP TRY WHITE,"4.400,00"
WOL21H0096,BTXSCRATCW,SCRAP TRY TC WHITE,"1.100,00"
WOL21H0096,BTXSCRPGRB,SCRAP TRY GRADE B,"440,00"
WOL21H0096,NX01RSST65,PVC RESIN SATOMO K-65,"22.000,00"
WOL21H0096,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"16.500,00"
WOL21H0096,NX77R830W*,ADDITIVE ALD R 830 WHITE,"4.422,88"
WOL21H0097,BTXSCRAPWH,SCRAP TRY WHITE,"6.820,00"
WOL21H0097,BTXSCRATCW,SCRAP TRY TC WHITE,"1.705,00"
WOL21H0097,BTXSCRPGRB,SCRAP TRY GRADE B,"682,00"
WOL21H0097,NX01RSST65,PVC RESIN SATOMO K-65,"34.100,00"
WOL21H0097,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"25.575,00"
WOL21H0097,NX77R830W*,ADDITIVE ALD R 830 WHITE,"6.855,46"
WOL21H0098,BTXSCRAPBL,SCRAP TRY BLUE,"390,00"
WOL21H0098,NX01RSST65,PVC RESIN SATOMO K-65,"3.900,00"
WOL21H0098,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"3.900,00"
WOL21H0098,NX77RSB***,ADDITIVE ALD RS BLUE,"934,05"
WOL21H0099,BTXSCRAPBL,SCRAP TRY BLUE,"565,00"
WOL21H0099,NX01RSST65,PVC RESIN SATOMO K-65,"5.650,00"
WOL21H0099,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"5.650,00"
WOL21H0099,NX77RSB***,ADDITIVE ALD RS BLUE,"1.353,18"
WOL21H0100,BTXSCRAPGR,SCRAP TRY GREY,"2.000,00"
WOL21H0100,NX01RSST65,PVC RESIN SATOMO K-65,"5.000,00"
WOL21H0100,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"5.000,00"
WOL21H0100,NX77RSG***,ADDITIVE ALD RS GREY,"1.191,00"
WOL21H0101,BTXSCRAPWH,SCRAP TRY WHITE,"2.790,00"
WOL21H0101,BTXSCRATCW,SCRAP TRY TC WHITE,"1.395,00"
WOL21H0101,BTXSCRPGRB,SCRAP TRY GRADE B,"558,00"
WOL21H0101,NX01RSAS65,PVC RESIN ASNYL FJ-65 R,"27.900,00"
WOL21H0101,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"20.925,00"
WOL21H0101,NX77R830W*,ADDITIVE ALD R 830 WHITE,"5.609,02"
WOL21H0102,BTXSCRAPBL,SCRAP TRY BLUE,"4.460,00"
WOL21H0102,BTXSCRATCB,SCRAP TRY TC BLUE,"1.115,00"
WOL21H0102,BTXSCRPGRB,SCRAP TRY GRADE B,"446,00"
WOL21H0102,NX01RSST65,PVC RESIN SATOMO K-65,"22.300,00"
WOL21H0102,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"16.725,00"
WOL21H0102,NX77R830B*,ADDITIVE ALD R 830 BLUE,"4.397,56"
WOL21H0103,BTXSCRAPWH,SCRAP TRY WHITE,"830,00"
WOL21H0103,BTXSCRPGRB,SCRAP TRY GRADE B,"166,00"
WOL21H0103,NX01RSST65,PVC RESIN SATOMO K-65,"8.300,00"
WOL21H0103,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"4.150,00"
WOL21H0103,NX77IDW***,ADDITIVE ALD ID WHITE,"1.776,62"
WOL21H0104,BTXSCRAPWH,SCRAP TRY WHITE,"380,00"
WOL21H0104,BTXSCRPGRB,SCRAP TRY GRADE B,"152,00"
WOL21H0104,NX01RSST65,PVC RESIN SATOMO K-65,"7.600,00"
WOL21H0104,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"3.800,00"
WOL21H0104,NX77IDW***,ADDITIVE ALD ID WHITE,"1.626,78"
WOL21H0105,BTXSCRAPWH,SCRAP TRY WHITE,"180,00"
WOL21H0105,BTXSCRPGRB,SCRAP TRY GRADE B,"72,00"
WOL21H0105,NX01RSST65,PVC RESIN SATOMO K-65,"3.600,00"
WOL21H0105,NX11CALOM2,OM 2 T GD ( CALCIUM CARBONAT ),"1.800,00"
WOL21H0105,NX77IDW***,ADDITIVE ALD ID WHITE,"770,58"
