tanggal,kk,cleaning,trial,fresh,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik
26/04/2021,WO1.210221,FALSE,FALSE,0,25,10647,610.7086614,1.27,775.6,0,614.8,0.5,0,0,3,2.43,2.36,0
19/01/2021,WO1.210030,FALSE,FALSE,0,25,15082,1248.603352,0.179,223.5,0,46.7,0.3,0,0,3,0.784666667,0.115833333,0
16/02/2021,WO1.210091,FALSE,FALSE,0,25,11453,500.5107832,1.762,881.9,0,394.1,0.9,0,0,3,4.1,0.21,0
19/01/2021,WO1.210029,FALSE,FALSE,0,25,12198,3947.368421,0.24206,955.5,0,530,0.5,0,0,3,3.675714286,1.996666667,0
17/01/2021,WO1.210029,FALSE,FALSE,0,25,12197,9005.782734,0.2421,2180.3,0,651.9,0.5,0,0,3,8.312857143,1.856666667,0
07/01/2021,WO1.210004,FALSE,FALSE,0,25,12265,8345.914397,0.257,2144.9,0,47.8,0,0,0,3,7.773928571,0,0
06/01/2021,WO1.210004,FALSE,FALSE,0,25,12265,8596.108949,0.257,2209.2,0,438.5,0.4,0,0,3,8.307407407,1.776666667,0
25/02/2021,WO1.210106,FALSE,FALSE,0,25,10019,1005.656109,0.5304,533.4,0,341.3,0.2,0,0,3,1.75,1.04,0
03/04/2021,WO1.210191,FALSE,FALSE,0,25,15783,7052.344106,0.2197,1549.4,0,471.3,0.3,0,0,3,5.32,1.38,0
03/04/2021,WO1.210191,FALSE,FALSE,0,25,15935,7752.306115,0.2927,2269.1,0,225.7,0.2,0,0,3,7.72,1.13,0
17/04/2021,WO1.210209,FALSE,FALSE,0,25,18514,1419.663835,0.5533,785.5,0,134.5,0,0,0,3,3.02,0.48,0
07/01/2021,WO1.210004,FALSE,FALSE,0,25,12004,3149.301826,0.1862,586.4,0,29.4,0.2,0,0,3,2.199285714,0,0
10/02/2021,WO1.210089,FALSE,FALSE,0,25,12198,6498.80195,0.24206,1573.1,0,530.9,0.5,0,0,3,6.05,1.28,0
14/02/2021,WO1.210094,FALSE,FALSE,0,25,16442,2949.561923,1.2669,3736.8,0,1030.3,0.7,0,0,3,11.8,4.12,0
07/02/2021,WO1.210075,FALSE,FALSE,0,25,16442,3449.601389,1.2669,4370.3,0,444.3,1.2,0,0,3,13.8,4.26,0
04/04/2021,WO1.210191,FALSE,FALSE,0,25,15935,2264.776221,0.2927,662.9,0,10.9,0,0,0,3,2.25,0,0
19/01/2021,WO1.210030,FALSE,FALSE,0,25,15935,2499.829177,0.2927,731.7,0,179,0,0,0,3,2.478666667,0.630833333,0
05/04/2021,WO2.210053,FALSE,FALSE,0,26,13876,91.01509361,1.5437,140.5,0,104.4,0,0,0,3,0.77,0,0
09/02/2021,WO2.210028,FALSE,FALSE,0,26,13876,477.3595906,1.5437,736.9,0,1186.3,0.3,0,0,3,2.7,0.94,0
21/05/2021,WO1.210250,FALSE,FALSE,0,26,9921,656.9263158,3.5625,2340.3,0,732.2,0.5,0,0,3,7.53,1.32,1.22
09/02/2021,WO2.210028,FALSE,FALSE,0,26,19225,687.0944316,2.13435,1466.5,0,21.8,0,0,0,3,4.96,0,0
26/04/2021,WO1.210224,FALSE,FALSE,0,26,14421,1368.720822,1.071,1465.9,0,108.6,0.5,0,0,3,5.07,0,0
17/05/2021,WO2.210090,FALSE,FALSE,0,26,12634,895.873985,1.073142,961.4,0,400.3,0.3,0,0,3,2.89,2.11,3
19/04/2021,WO2.210068,FALSE,FALSE,0,26,16145,1000.892459,0.8964,897.2,0,164.5,2,0,0,3,3.02,0.25,0
30/04/2021,WO2.210086,FALSE,FALSE,0,26,16293,507.3122113,1.304325,661.7,0,281.1,0.5,0,0,3,2.12,0.58,1.3
30/04/2021,WO2.210086,FALSE,FALSE,0,26,16297,457.136127,1.732088,791.8,0,602,0.9,0,0,3,2.54,1.88,1.41
22/04/2021,WO1.210219,FALSE,FALSE,0,26,11109,0,0.561,0,0,0,0,0,0,3,0,0.5,0
14/01/2021,WO2.210001,FALSE,FALSE,0,26,13438,258.0028982,1.5182,391.7,0,969.5,0.3,0,0,3,1.387333333,4.613333333,2
23/04/2021,WO1.210219,FALSE,FALSE,0,26,11109,773.6185383,0.561,434,0,197.4,0.5,0,0,3,1.71,1.56,0
05/04/2021,WO2.210054,FALSE,FALSE,0,26,16302,348.6080701,0.6394,222.9,0,10.7,0,0,0,3,0.72,0,0
05/04/2021,WO2.210054,FALSE,FALSE,0,26,16302,307.4757585,0.6394,196.6,0,29.9,0,0,0,3,0.7,0,0
04/04/2021,WO2.210053,FALSE,FALSE,0,26,13877,583.5600466,1.5438,900.9,0,44.1,0,0,0,3,2.91,0.07,0
23/04/2021,WO2.210076,FALSE,FALSE,0,26,11195,782.2038779,1.0418,814.9,0,1791.8,0.3,0,0,3,2.67,4.98,3.17
19/04/2021,WO2.210072,FALSE,FALSE,0,26,16145,97.94734494,0.8964,87.8,0,379.3,0.4,0,0,3,0.38,2.08,0
14/01/2021,WO2.210001,FALSE,FALSE,0,26,16145,685.8545292,0.8964,614.8,0,996.1,0.8,0,0,3,2.844666667,1.738333333,5.416666667
03/05/2021,WO2.210087,FALSE,FALSE,0,26,16571,959.5488722,1.33,1276.2,0,591.3,0.2,0,0,3,4.2,5.99,0.5
21/05/2021,WO1.210249,FALSE,FALSE,0,26,29160,1783.753501,0.80325,1432.8,0,293,0.3,0,0,3,4.26,1.25,1.67
04/02/2021,WO1.210048,FALSE,FALSE,0,26,9886,352.8499344,1.039252,366.7,0,392.3,0,0,0,3,1.34,1.62,0
20/05/2021,WO1.210249,FALSE,FALSE,0,26,29160,4214.628073,0.80325,3385.4,0,1061,1,0,0,3,10.07,5.19,0
